"goal","dimension","region_id","score","old_score","change"
"ECO","status",258442,100,100,0
"ECO","status",258510,56.61,56.61,0
"ECO","status",258520,100,100,0
"ECO","status",258600,67.12,67.12,0
"ECO","status",258700,97.44,97.44,0
"ECO","status",288100,89.68,89.68,0
"ECO","status",288200,99.11,99.11,0
"ECO","status",288300,100,100,0
"ECO","trend",248100,0.54,0.54,0
"ECO","trend",248200,0.9,0.9,0
"ECO","trend",248300,0.98,0.98,0
"ECO","trend",248400,1,1,0
"ECO","trend",248500,0.15,0.15,0
"ECO","trend",248600,1,1,0
"ECO","trend",258410,0.43,0.43,0
"ECO","trend",258420,0.61,0.61,0
"ECO","trend",258431,1,1,0
"ECO","trend",258432,-0.03,-0.03,0
"ECO","trend",258441,NA,NA,NA
"ECO","trend",258442,0.71,0.71,0
"ECO","trend",258510,0.83,0.83,0
"ECO","trend",258520,1,1,0
"ECO","trend",258600,0.91,0.91,0
"ECO","trend",258700,1,1,0
"ECO","trend",288100,1,1,0
"ECO","trend",288200,1,1,0
"ECO","trend",288300,1,1,0
"FIS","future",0,57.56,57.45,0.109999999999999
"FIS","future",248100,36.15,36.04,0.109999999999999
"FIS","future",248200,28.98,28.92,0.0599999999999987
"FIS","future",248300,40.47,40.31,0.159999999999997
"FIS","future",248400,32.16,32.1,0.0599999999999952
"FIS","future",248500,NA,NA,NA
"FIS","future",248600,41.56,41.47,0.0900000000000034
"FIS","future",258410,100,100,0
"FIS","future",258420,25.02,24.92,0.0999999999999979
"FIS","future",258431,85.34,85.15,0.189999999999998
"FIS","future",258432,47.97,47.82,0.149999999999999
"FIS","future",258441,NA,NA,NA
"FIS","future",258442,73.93,73.59,0.340000000000003
"FIS","future",258510,100,100,0
"FIS","future",258520,82,81.81,0.189999999999998
"FIS","future",258600,52.92,52.66,0.260000000000005
"FIS","future",258700,27.35,27.3,0.0500000000000007
"FIS","future",288100,100,100,0
"FIS","future",288200,28.84,28.76,0.0799999999999983
"FIS","future",288300,41.72,41.4,0.32
"FIS","pressures",248100,15.04,16.2,-1.16
"FIS","pressures",248200,12.62,13.46,-0.840000000000002
"FIS","pressures",248300,13.41,14.98,-1.57
"FIS","pressures",248400,3.82,4.46,-0.64
"FIS","pressures",248500,1.56,3.76,-2.2
"FIS","pressures",248600,2.75,3.64,-0.89
"FIS","pressures",258410,3.23,4.14,-0.91
"FIS","pressures",258420,2.34,3.5,-1.16
"FIS","pressures",258431,2.41,3.37,-0.96
"FIS","pressures",258432,2.63,3.62,-0.99
"FIS","pressures",258441,2.87,3.82,-0.95
"FIS","pressures",258442,2.59,3.96,-1.37
"FIS","pressures",258510,3.53,4.54,-1.01
"FIS","pressures",258520,3.02,3.81,-0.79
"FIS","pressures",258600,2.94,4.39,-1.45
"FIS","pressures",258700,3.85,4.57,-0.72
"FIS","pressures",288100,4.57,6.35,-1.78
"FIS","pressures",288200,2.65,3.75,-1.1
"FIS","pressures",288300,2.49,3.91,-1.42
"FIS","resilience",248100,85.71,85.71,0
"FIS","resilience",248200,85.71,85.71,0
"FIS","resilience",248300,85.71,85.71,0
"FIS","resilience",248400,85.71,85.71,0
"FIS","resilience",248500,85.71,85.71,0
"FIS","resilience",248600,85.71,85.71,0
"FIS","resilience",258410,85.71,85.71,0
"FIS","resilience",258420,85.71,85.71,0
"FIS","resilience",258431,85.71,85.71,0
"FIS","resilience",258432,85.71,85.71,0
"FIS","resilience",258441,85.71,85.71,0
"FIS","resilience",258442,85.71,85.71,0
"FIS","resilience",258510,85.71,85.71,0
"FIS","resilience",258520,85.71,85.71,0
"FIS","resilience",258600,85.71,85.71,0
"FIS","resilience",258700,85.71,85.71,0
"FIS","resilience",288100,85.71,85.71,0
"FIS","resilience",288200,85.71,85.71,0
"FIS","resilience",288300,85.71,85.71,0
"FIS","score",0,54.72,54.67,0.0499999999999972
"FIS","score",248100,32.58,32.52,0.0599999999999952
"FIS","score",248200,26.49,26.46,0.0299999999999976
"FIS","score",248300,35.74,35.66,0.0800000000000054
"FIS","score",248400,29.08,29.05,0.0299999999999976
"FIS","score",248500,NA,NA,NA
"FIS","score",248600,36.28,36.24,0.0399999999999991
"FIS","score",258410,93,93,0
"FIS","score",258420,26.01,25.96,0.0500000000000007
"FIS","score",258431,72.67,72.57,0.100000000000009
