region_id,country,likely_future_state_2012,likely_future_state_2013,likely_future_state_2014,likely_future_state_2015,likely_future_state_2016,score_2012,score_2013,score_2014,score_2015,score_2016,status_2012,status_2013,status_2014,status_2015,status_2016,pred_change,obs_change
107,Clipperton Island,75.34,82.63,82.09,82.78,78,73.17,79.2,77.79,79.3,74.15,71.006,75.764,73.5,75.806,70.292,4.334000000000003,-0.7139999999999986
108,Bermuda,77.38,74.71,74.94,75.19,72.07,75.09,72.36,72.51,72.34,69.98,72.80555555555556,70.00666666666666,70.06888888888889,69.47666666666666,67.88888888888889,4.574444444444438,-4.916666666666671
110,Bahamas,83.49,84.51,81.21,78.17,78.32,79.39,79.43,77.61,75.77,75.68,75.285,74.342,74.01,73.373,73.03999999999999,8.204999999999998,-2.2450000000000045
111,Turks and Caicos Islands,65.55,66.23,66.56,67.6,71.08,66.74,67.4,67.69,68.3,70.9,67.936,68.567,68.825,68.99600000000001,70.712,-2.38600000000001,2.7759999999999962
112,Cuba,69.85,67.24,65.29,64.76,63.56,67.99,65.85,63.74,63.24,62.34,66.13300000000001,64.452,62.199,61.726,61.129,3.7169999999999845,-5.004000000000012
113,Cayman Islands,78.31,79.03,79.91,80.02,78.04,76.84,77.1,77.78,78.14,76.91,75.37222222222222,75.16555555555556,75.64444444444445,76.25666666666667,75.78777777777778,2.9377777777777823,0.41555555555555657
114,Haiti,56,56.81,56.63,56.5,54.94,56.88,57.78,57.61,57.54,56.34,57.765,58.751999999999995,58.587,58.589,57.73199999999999,-1.7650000000000006,-0.033000000000008356
115,Dominican Republic,72.83,73.2,73.64,73.88,70.36,72.65,73.14,73.33,73.46,70.44,72.466,73.08,73.019,73.042,70.523,0.3640000000000043,-1.9429999999999978
116,Puerto Rico and Virgin Islands of the United States,75.42,75.08,73.53,73.59,73.49,73.35,73.16,71.86,71.95,71.71,71.27555555555556,71.24,70.19444444444444,70.30333333333334,69.94333333333333,4.144444444444446,-1.332222222222228
117,British Virgin Islands,67.58,68.39,68.58,68.92,68.28,69.58,70.28,70.38,70.63,70.16,71.58777777777777,72.16666666666667,72.18666666666667,72.33666666666666,72.02777777777777,-4.007777777777775,0.4399999999999977
118,Anguilla,69.13,68.51,68.72,68.9,67.65,71.12,69.7,69.86,69.99,69.24,73.10777777777778,70.89333333333333,71.00111111111111,71.08111111111111,70.83111111111111,-3.9777777777777885,-2.276666666666671
119,Saint Kitts and Nevis,65.99,67.36,67.52,67.37,66.1,66.2,66.32,66.2,66.18,65.72,66.40666666666667,65.27444444444444,64.86777777777779,64.98888888888888,65.33,-0.4166666666666714,-1.076666666666668
