region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Guatemala,136,69.29,59.84,77.69,72.53,67.37,99.79,92.73,30.62,100,100,100,38.76,29.52,7.92,74.84,81.09,87.35,65.45,61.3
Malaysia,206,69.29,66.57,84.92,78.9,72.87,82.4,78.67,56.38,68.36,77.8,87.24,54.22,49.28,1.93,63.64,47.37,31.11,85.02,70.55
Italy,184,69.19,61.78,67.46,66.27,65.08,72.34,66.76,53.17,100,85.62,71.23,39.83,55.7,83.48,79.97,82.98,85.98,80.17,67.15
Indonesia,216,69.14,92.47,84.67,80.84,77.01,80.85,73.95,58.45,98.46,70.42,42.39,35.97,23.18,4.3,65.89,59.13,52.37,63.64,88.44
Taiwan,14,69.13,59.19,86.24,78.07,69.91,85.88,71.01,45.82,93.7,90.48,87.26,50.4,57.32,84.16,70.5,46.49,22.48,87.94,NA
Bulgaria,71,69.1,55.11,88.41,69.93,51.45,74.93,74.93,46.7,100,71.31,42.62,11.45,28.23,87.01,100,100,100,89.93,79.93
Cambodia,24,69.04,86.19,87.61,86.41,85.21,69.86,67.78,54.24,100,74.77,49.53,50.63,49,0.34,59.8,60.25,60.7,55.15,86.76
Namibia,101,69.03,28.42,75.31,72.34,69.38,100,60.34,80.22,49.27,74.63,100,19.94,19.9,0.01,63.5,81.75,100,83.76,88.98
American Samoa,151,69.02,39.18,75.46,86.48,97.5,99.76,100,56.25,66.5,82.62,98.74,41.25,41.25,0,64.69,66.32,67.94,78.31,40
Togo,98,68.91,59.05,74.66,82.38,90.1,100,98.9,20.66,99.52,99.76,100,27.14,27.14,0,75.19,37.59,0,71.54,92.04
Cook Islands,153,68.9,78.87,74.97,80.02,85.07,85.7,74.93,71.34,54.94,44.46,33.98,39,39,0.04,66.71,33.76,0.8,80.89,100
Sri Lanka,40,68.75,84.36,82.21,88.26,94.31,80.2,72.28,57.22,85.65,66.69,47.74,29.1,28.38,0.5,66.32,40.32,14.33,85.83,83.94
Angola,200,68.74,77.27,72.59,72.3,72,82.58,93.89,57.93,89.29,74.17,59.05,20.72,20.72,0,63.18,46.86,30.54,82.93,78.73
Benin,99,68.72,63.64,75.68,85.64,95.6,100,99.86,19.65,100,66.99,33.98,41.55,41.55,0,72.57,36.28,0,96.73,76.82
Costa Rica,130,68.44,100,76.7,81.16,85.63,64.57,62.04,66.87,99.67,74.86,50.05,57.66,53.31,0.8,69.24,76.57,83.89,5.49,99.55
Malta,68,68.35,60.84,64.74,67.64,70.54,72.03,64.36,47.89,100,86.67,73.33,36.58,52.14,58.27,77.47,70.56,63.65,79.98,81.39
Lithuania,189,68.19,85.56,92.29,71.62,50.94,62.73,23.45,45.99,100,76.21,52.42,73.25,73.25,0,92.73,96.37,100,100,46.77
Nauru,10,68.16,68.27,74.5,85.86,97.23,95.45,NA,23.98,69.53,71.57,73.61,97.13,97.13,NA,69.66,34.83,0,NA,NA
Bosnia and Herzegovina,232,67.91,58.67,72.93,86.47,100,NA,NA,48.15,100,76.03,52.07,20.22,83.25,87.91,71.37,43.82,16.28,62.95,83.96
Madagascar,42,67.78,60.15,82.91,84.29,85.66,88.89,94.81,58.72,100,80.93,61.86,52.48,50.72,0.14,60.9,46.3,31.69,28.13,84.91
South Korea,20,67.6,53.92,83.92,71.47,59.03,63.68,80.19,58.08,100,94.78,89.56,44.33,67.22,86.49,60.14,56.14,52.15,41.88,88.62
Bonaire,245,67.55,79.74,81.34,77.57,73.8,97.44,66.06,68.67,75.24,68.81,62.37,45.76,45.76,NA,71.37,60.69,50,81.42,29.35
Grenada,125,67.41,66.21,84.51,78.19,71.88,58.13,92.83,61.75,67.74,83.87,100,58.04,58.04,0,69.62,39.4,9.17,98.33,37.31
South Africa,102,67.31,57.65,77.66,71.79,65.92,57.76,69.34,58.14,100,100,100,77.08,76.44,0.08,70.07,70.88,71.69,60.94,50.19
