"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Spain",182,66.86,88.2,76.69,79.2,81.71,53.88,53.86,49.75,100,79.04,58.08,55.02,65.06,100,68.38,84.19,100,48.35,67.08
"Tristan da Cunha",88,66.85,95.7,77.85,88.69,99.53,,,88.7,90.2,87.97,85.75,39.96,39.96,0,65.9,32.95,0,,33.95
"Brazil",171,66.78,72.5,84.06,89.84,95.61,97.48,97.69,60.16,100,80.28,60.56,47.08,43.42,0.23,68.49,83.67,98.85,14.09,28.66
"Bahrain",52,66.68,92.04,85.18,84.26,83.33,85.11,86.09,51.9,76.86,82.36,87.87,28.11,28.11,0,60.6,30.3,0,,60
"Saudi Arabia",50,66.6,97.68,87.98,91.86,95.74,94.4,89.75,69.86,100,100,100,28.73,28.65,0.63,62.16,52.44,42.71,4.25,37.08
"Namibia",101,66.54,88.65,82.15,91.08,100,,,83.61,52.38,76.19,100,46.15,45.59,0.01,63.7,81.85,100,18.98,46.4
"Micronesia",9,66.32,46.94,79.74,88.74,97.74,97.61,92.81,46.99,49.05,63.07,77.09,64.03,64.03,0,61.2,32.26,3.31,44.9,85.85
"Malaysia",206,66.04,78.97,87.56,87.76,87.96,93.61,84.51,62.02,71.34,79.29,87.24,26.76,24.67,1.66,61.98,39.15,16.33,48.54,61.91
"Nauru",10,65.94,56.58,77.12,85.56,93.99,98.21,,24.33,73.49,75.28,77.08,64.07,64.07,,68.25,34.12,0,,89.35
"Egypt",214,65.73,73.54,80.06,88.84,97.61,97.14,85.5,51.69,100,97.83,95.67,33.33,23.55,20.26,61.35,66.3,71.25,47.26,25.68
"Vanuatu",6,65.72,46.4,84.54,88.53,92.53,94.22,87.58,62.72,100,100,100,32.23,32.18,0.01,59.67,30.37,1.07,15.32,99.88
"Iran",191,65.54,76.44,86.06,88.56,91.06,88.9,87.13,67.95,60.06,80.03,100,27.26,25.08,1.13,59.91,61.75,63.6,63.23,16.28
"Thailand",25,65.47,76.92,90.2,89.98,89.76,82.25,78.84,55.04,100,85.72,71.44,27.91,18.02,9.65,57.06,53.5,49.94,57.17,57.23
