"","rgn_id","taxa_code","taxa_group","family","production_year","tonnes","rgn_name","sustainability_year","sust_coeff","potential_mar_tonnes","gentry_year"
"111",7,"Elkhorn sea moss_6","AL","Algae",2015,122,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"112",7,"Elkhorn sea moss_6","AL","Algae",2016,105.8,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"113",7,"Elkhorn sea moss_6","AL","Algae",2017,47.8,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"114",7,"Elkhorn sea moss_6","AL","Algae",2018,55.2,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"115",7,"Elkhorn sea moss_6","AL","Algae",2019,56,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"116",7,"Giant tiger prawn_7","SH","Penaeidae",1987,6,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"117",7,"Giant tiger prawn_7","SH","Penaeidae",1988,5,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"118",7,"Giant tiger prawn_7","SH","Penaeidae",1989,3,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"119",7,"Giant tiger prawn_7","SH","Penaeidae",1990,5,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"120",7,"Giant tiger prawn_7","SH","Penaeidae",1991,6,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"121",7,"Giant tiger prawn_7","SH","Penaeidae",1992,8,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"122",7,"Giant tiger prawn_7","SH","Penaeidae",1993,10,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"123",7,"Giant tiger prawn_7","SH","Penaeidae",1994,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"124",7,"Giant tiger prawn_7","SH","Penaeidae",1995,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"125",7,"Giant tiger prawn_7","SH","Penaeidae",1996,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"126",7,"Giant tiger prawn_7","SH","Penaeidae",1997,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"127",7,"Giant tiger prawn_7","SH","Penaeidae",1998,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"128",7,"Giant tiger prawn_7","SH","Penaeidae",1999,13,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"129",7,"Giant tiger prawn_7","SH","Penaeidae",2000,15,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"130",7,"Giant tiger prawn_7","SH","Penaeidae",2001,15,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"131",7,"Giant tiger prawn_7","SH","Penaeidae",2002,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"132",7,"Giant tiger prawn_7","SH","Penaeidae",2003,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"133",7,"Giant tiger prawn_7","SH","Penaeidae",2004,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"134",7,"Giant tiger prawn_7","SH","Penaeidae",2005,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"135",7,"Giant tiger prawn_7","SH","Penaeidae",2006,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"136",7,"Giant tiger prawn_7","SH","Penaeidae",2007,1,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"137",7,"Giant tiger prawn_7","SH","Penaeidae",2008,1,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"138",7,"Giant tiger prawn_7","SH","Penaeidae",2009,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"139",7,"Giant tiger prawn_7","SH","Penaeidae",2010,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"140",7,"Giant tiger prawn_7","SH","Penaeidae",2011,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"141",7,"Giant tiger prawn_7","SH","Penaeidae",2012,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"142",7,"Giant tiger prawn_7","SH","Penaeidae",2013,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"143",7,"Giant tiger prawn_7","SH","Penaeidae",2014,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"144",7,"Giant tiger prawn_7","SH","Penaeidae",2015,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"145",7,"Giant tiger prawn_7","SH","Penaeidae",2016,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"146",7,"Giant tiger prawn_7","SH","Penaeidae",2017,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"147",7,"Giant tiger prawn_7","SH","Penaeidae",2018,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"148",7,"Giant tiger prawn_7","SH","Penaeidae",2019,0,"Solomon Islands",2021,0.883116883116883,447515.375,2019
"149",8,"Bear paw clam_8","BI","Cardiidae",2002,1,"Palau",2021,0.909090909090909,48799.162,2019
"150",8,"Bear paw clam_8","BI","Cardiidae",2003,1,"Palau",2021,0.909090909090909,48799.162,2019
"151",8,"Bear paw clam_8","BI","Cardiidae",2004,0,"Palau",2021,0.909090909090909,48799.162,2019
"152",8,"Bear paw clam_8","BI","Cardiidae",2005,0,"Palau",2021,0.909090909090909,48799.162,2019
"153",8,"Bear paw clam_8","BI","Cardiidae",2006,0,"Palau",2021,0.909090909090909,48799.162,2019
"154",8,"Bear paw clam_8","BI","Cardiidae",2007,2,"Palau",2021,0.909090909090909,48799.162,2019
"155",8,"Bear paw clam_8","BI","Cardiidae",2008,0,"Palau",2021,0.909090909090909,48799.162,2019
"156",8,"Bear paw clam_8","BI","Cardiidae",2009,4.95,"Palau",2021,0.909090909090909,48799.162,2019
"157",8,"Bear paw clam_8","BI","Cardiidae",2010,0.68,"Palau",2021,0.909090909090909,48799.162,2019
"158",8,"Bear paw clam_8","BI","Cardiidae",2011,0.09,"Palau",2021,0.909090909090909,48799.162,2019
"159",8,"Bear paw clam_8","BI","Cardiidae",2012,0.06,"Palau",2021,0.909090909090909,48799.162,2019
"160",8,"Bear paw clam_8","BI","Cardiidae",2013,0.11,"Palau",2021,0.909090909090909,48799.162,2019
"161",8,"Bear paw clam_8","BI","Cardiidae",2014,0.26,"Palau",2021,0.909090909090909,48799.162,2019
"162",8,"Bear paw clam_8","BI","Cardiidae",2015,0.21,"Palau",2021,0.909090909090909,48799.162,2019
"163",8,"Bear paw clam_8","BI","Cardiidae",2016,4.4,"Palau",2021,0.909090909090909,48799.162,2019
"164",8,"Bear paw clam_8","BI","Cardiidae",2017,4.4,"Palau",2021,0.909090909090909,48799.162,2019
"165",8,"Bear paw clam_8","BI","Cardiidae",2018,4.4,"Palau",2021,0.909090909090909,48799.162,2019
"166",8,"Bear paw clam_8","BI","Cardiidae",2019,0,"Palau",2021,0.909090909090909,48799.162,2019
"167",8,"Crocus giant clam_9","BI","Veneridae",2004,1,"Palau",2021,0.909090909090909,48799.162,2019
"168",8,"Crocus giant clam_9","BI","Veneridae",2005,2,"Palau",2021,0.909090909090909,48799.162,2019
"169",8,"Crocus giant clam_9","BI","Veneridae",2006,2,"Palau",2021,0.909090909090909,48799.162,2019
"170",8,"Crocus giant clam_9","BI","Veneridae",2007,0,"Palau",2021,0.909090909090909,48799.162,2019
"171",8,"Crocus giant clam_9","BI","Veneridae",2008,0,"Palau",2021,0.909090909090909,48799.162,2019
