"rgn_id","habitat","extent","health","trend","rank","status","trend_score"
205,"seagrass",1793.66,0.855116269050631,NA,83,90.2688381701302,-0.065579
206,"mangrove",5554.74715,0.838278931750742,-0.030894,139,83.9172452878289,-0.0823223624785716
206,"seagrass",521.331,0.855116269050631,-1,83,83.9172452878289,-0.0823223624785716
207,"mangrove",2122.0002,0.583317852498607,-0.006981,139,58.4381783682204,-0.006981
207,"seagrass",12.2255,0.893645547136102,NA,83,58.4381783682204,-0.006981
208,"mangrove",NA,0.279329608938548,0,139,85.5116269050631,NA
208,"seagrass",55.888,0.855116269050631,NA,83,85.5116269050631,NA
209,"mangrove",NA,NA,-0.009652,139,57.6132216855194,-0.335086078934046
209,"saltmarsh",5734.4,0.5,0,210,57.6132216855194,-0.335086078934046
209,"seagrass",7311.73,0.727201968811659,-1,83,57.6132216855194,-0.335086078934046
210,"mangrove",NA,NA,-0.002538,139,91.2847483095417,NA
210,"seagrass",274.201,0.912847483095417,NA,83,91.2847483095417,NA
212,"mangrove",NA,NA,NA,139,85.5116269050631,NA
212,"seagrass",454.09,0.855116269050631,NA,83,85.5116269050631,NA
213,"mangrove",NA,NA,NA,139,NA,NA
214,"mangrove",0.873251,1,0,139,82.4627613708985,0
214,"seagrass",2224.17,0.82451230316197,NA,83,82.4627613708985,0
215,"mangrove",NA,NA,NA,139,85.5116269050631,NA
215,"seagrass",1.7465,0.855116269050631,NA,83,85.5116269050631,NA
216,"mangrove",27214.000451,0.69047619047619,-0.011238,139,69.817749520254,-0.253582118110296
216,"seagrass",14797.2,0.721897450142865,-1,83,69.817749520254,-0.253582118110296
218,"mangrove",NA,NA,NA,139,50.1563918725617,0
218,"saltmarsh",440,0.5,0,210,50.1563918725617,0
218,"seagrass",3.493,1,NA,83,50.1563918725617,0
219,"mangrove",NA,NA,NA,139,NA,NA
220,"mangrove",NA,0.87719298245614,NA,139,100,NA
220,"seagrass",24.451,1,NA,83,100,NA
221,"mangrove",NA,0.969387755102041,0,139,100,NA
221,"seagrass",57.6346,1,NA,83,100,NA
222,"mangrove",NA,NA,NA,139,55.2691158945337,0
222,"saltmarsh",29.3,0.5,0,210,55.2691158945337,0
222,"seagrass",8.73251,1,NA,83,55.2691158945337,0
223,"mangrove",NA,NA,NA,139,NA,NA
224,"mangrove",NA,NA,NA,139,NA,NA
227,"mangrove",NA,NA,NA,139,50,0
227,"saltmarsh",1.5022604588394,0.5,0,210,50,0
228,"mangrove",NA,NA,NA,139,50,0
228,"saltmarsh",2.03878205128204,0.5,0,210,50,0
231,"mangrove",6.986,0.423529411764706,-0.0047,139,83.8079571299249,-0.0047
231,"seagrass",284.68,0.855116269050631,NA,83,83.8079571299249,-0.0047
232,"mangrove",NA,NA,NA,139,NA,NA
237,"mangrove",0.873251,0.423529411764706,NA,139,42.3529411764706,NA
237,"seagrass",NA,0.855116269050631,NA,83,42.3529411764706,NA
244,"mangrove",0.873251,0.87719298245614,0,139,87.719298245614,0
244,"seagrass",NA,1,NA,83,87.719298245614,0
245,"mangrove",2.61975,0.87719298245614,0,139,91.2160332219915,0
245,"seagrass",1.7465,1,NA,83,91.2160332219915,0
247,"mangrove",114.39576,0.838278931750742,-0.003469,139,83.8278931750742,-0.003469
247,"seagrass",NA,0.855116269050631,-1,83,83.8278931750742,-0.003469
248,"mangrove",NA,0.87719298245614,NA,139,100,NA
248,"seagrass",1.7465,1,NA,83,100,NA
249,"mangrove",NA,0.87719298245614,NA,139,100,NA
249,"seagrass",1.7465,1,NA,83,100,NA
250,"mangrove",0.873251,0.87719298245614,0,139,99.1989585306709,0
250,"seagrass",20.958,1,NA,83,99.1989585306709,0
255,"mangrove",101.29706,NA,NA,139,NA,NA
255,"seagrass",758.855,NA,NA,83,NA,NA
260,"mangrove",NA,NA,NA,139,NA,NA
261,"mangrove",NA,NA,NA,139,NA,NA
262,"mangrove",NA,NA,NA,139,NA,NA
264,"mangrove",NA,NA,NA,139,NA,NA
266,"mangrove",NA,NA,NA,139,NA,NA
267,"mangrove",NA,NA,NA,139,NA,NA
268,"mangrove",NA,NA,NA,139,NA,NA
269,"mangrove",NA,NA,NA,139,NA,NA
269,"seagrass",6413.15,NA,NA,83,NA,NA
270,"mangrove",NA,NA,NA,139,NA,NA
271,"mangrove",NA,NA,NA,139,NA,NA
273,"mangrove",NA,NA,NA,139,NA,NA
274,"mangrove",NA,NA,NA,139,NA,NA
276,"mangrove",NA,NA,NA,139,NA,NA
277,"mangrove",NA,NA,NA,139,NA,NA
278,"mangrove",NA,NA,NA,139,NA,NA
